Device ID,In Service,Activation State,Location,Product,Configuration Pending,Provider,Encryption,Firmware Version,Firmware Update Available,Last Received,Comm Status,Commissioned,Key Date,Key Pending Rotation,Latitude,Longitude,Radio Identifiers,Radio Model,Rx Frequency,SSI,Tx Frequency
44313,true,,LINE-2235RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:40.630,Normal,2019-01-03 17:07:26.737,2025-09-17 09:46:05.000,No,40.061621,-75.094183,FlexNetId: 50409400,FlexNet900,930.5375 MHz,39,901.8875 MHz
54099,true,,CROYDON-141T1169,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:59.057,Normal,2024-10-17 10:05:38.134,2025-09-17 12:31:20.000,No,40.0874944,-74.9034532,FlexNetId: 50480684,FlexNet900K24,930.5125 MHz,38,901.8375 MHz
50868,true,,PULASKI-131RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:29.247,Normal,2022-06-23 10:27:19.730,2025-09-17 09:44:17.000,No,40.0287,-75.1678,FlexNetId: 50532182,FlexNet900,930.5125 MHz,34,901.8875 MHz
45486,true,,LINTON-351RMP3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:52.857,Normal,2019-03-06 17:48:54.018,2025-09-17 10:08:45.000,No,40.33228,-74.938598,FlexNetId: 50410355,FlexNet900,930.5125 MHz,16,901.8375 MHz
54170,true,,CHICHEST-132RMP2,RTMx,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:28.971,Normal,2024-10-17 09:54:28.382,2025-09-17 09:41:04.000,No,39.8201034,-75.4170432,FlexNetId: 50480854,FlexNet900K24,930.5125 MHz,56,901.8375 MHz
43795,true,,PERKIOME-343T124,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:25.063,Normal,2019-02-01 15:06:49.572,2025-09-17 09:28:13.000,No,40.229747,-75.5578896,FlexNetId: 50409090,FlexNet900,930.5125 MHz,39,901.8375 MHz
52251,true,,TACONY-132RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:18:13.237,Normal,2023-06-15 07:26:26.398,2025-09-17 09:28:10.000,No,40.0215155,-75.0668012,FlexNetId: 50533255,FlexNet900,930.5125 MHz,50,901.8375 MHz
43848,true,,CALLOWHI-131RM3,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:17.505,Normal,2018-11-13 10:03:00.611,2025-09-17 09:55:39.000,No,39.973216,-75.148601,FlexNetId: 50409125,FlexNet900,930.5375 MHz,34,901.8875 MHz
45458,true,,LINTON-351RMP2,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:05.282,Normal,2019-03-06 17:48:49.044,2025-09-17 10:13:10.000,No,40.320999,-74.924,FlexNetId: 50410281,FlexNet900,930.5375 MHz,16,901.8875 MHz
50885,true,,PULASKI-132RMP5,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:09.008,Normal,2022-06-23 10:26:06.987,2025-09-17 09:44:17.000,No,40.022906,-75.169958,FlexNetId: 50532686,FlexNet900,930.5375 MHz,34,901.8875 MHz
46826,true,,LINE-14800RMP4,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:22:22.872,Normal,2020-01-05 21:03:29.954,2025-09-17 09:54:54.000,No,40.008,-75.615,FlexNetId: 50410603,FlexNet900,930.5375 MHz,29,901.8625 MHz
47778,true,,LENAPE-351RMP4,RTM II+,No,FlexNet,Enabled,4110005,No,2026-07-29 09:11:37.180,Normal,2020-08-13 09:23:44.373,2025-09-17 10:00:29.000,No,39.847,-75.663,FlexNetId: 50530518,FlexNet900,930.5375 MHz,44,901.8875 MHz
